0	Index      	 *	Score 	Summary	Detail	
131	62136 25442	   	196.87	ACR|3DMG|2VULN|2CDMG|1AAC	1MBVNT|2AAC|3aCDMG|4aVULN|5RCR|6DUR|7ERES|89aDMG|aBPWR
132	22434 12136	   	196.35	ACR|1BASARM|2VULN|1DMG|1CDMG	16CGEN|28VULN|3MDPS|4RCR|5DMG|7LWND|9BASARM|aCDMG
133	22434 31136	   	196.35	ACR|1BASARM|2VULN|1DMG|1CDMG	1CGEN|28VULN|3MDPS|4RCR|5DMG|6LWND|7DMSP|9BASARM|aCDMG
134	22434 11136	   	196.25	ACR|1BASARM|2VULN|1DMG|1CDMG	16CGEN|28VULN|3MDPS|4RCR|5DMG|7DUST|9BASARM|aCDMG
135	33316 46222	 * 	196.04	ACR|3VULN|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1BEXP|2ASPD|36aVULN|4CDMG|5RCR|7LIT|8DMG|9AAC
136	61336 31431	   	195.89	ACR|3DMG|1VULN|1ASPD|1CDMG|1AAC	1MBVNT|2CDMG|38aDMG|4VULN|5RCR|6RMIN|7AAC|9ASPD
137	31336 22246	 * 	195.31	ACR|3DMG|1VULN|2BEXP|1CDMG	19BEXP|2CDMG|39aDMG|4VULN|5RCR|6DUR|79ZMB|8RPLT|9BPWR
138	31336 12246	   	195.21	ACR|3DMG|1VULN|2BEXP|1CDMG	19BEXP|2CDMG|39aDMG|4VULN|5RCR|6DUST|79ZMB|8RPLT|9BPWR
139	22434 26323	   	194.35	ACR|1BASARM|2VULN|1DMG|1BEXP	1CGEN|28VULN|3MDPS|4RCR|5DMG|6RMIN|7RPLT|9BEXP|aBASARM
140	33116 42112	   	193.90	ACR|3ASPD|2VULN|1BEXP|1CDMG	1BEXP|29aASPD|3LWND|4CDMG|5RCR|6aVULN|7ZMB|8aERES|aBPWR
141	33316 22246	   	193.76	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	19BEXP|2ASPD|39VULN|4CDMG|5RCR|6DUR|79ZMB|8RPLT|9BPWR|aDMG
142	33316 12246	   	193.66	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	19BEXP|2ASPD|39VULN|4CDMG|5RCR|6DUST|79ZMB|8RPLT|9BPWR|aDMG
143	31336 56211	   	193.59	ACR|2VULN|2DMG|2BEXP|1CDMG	19BEXP|2CDMG|38DMG|4aVULN|5RCR|6RCVC|7LIT
144	31336 21166	   	193.56	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	17BEXP|2CDMG|3DMG|4aVULN|5RCR|6DUR|8ASPD|9BELT
145	31336 21313	   	193.56	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	17BEXP|2CDMG|3DMG|4aVULN|5RCR|6DUR|8LWND|9ASPD
