0	Index      	 *	Score 	Summary	Detail	
137	12325 64133	   	168.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|25LHND|3DMG|4RCR|6CDMG|7aVULN|8ZMB|9AART
138	41613 43321	   	168.50	ACR|2VULN|2AART|1DMG|1ZMB	17DUST|26VULN|3RMIN|4RCR|59AART|8ZMB|aDMG
139	11322 12133	   	168.40	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2VULN|37DMG|4RCR|5CDMG|6FEWX|8ZMB|9AART|aDUST
140	11321 44343	   	168.37	ACR|2VULN|2DMG|1AART|1DUR	15BEXP|28VULN|37DMG|4RCR|6CGEN|9AART|aDUR
141	11321 51341	   	168.37	ACR|2VULN|2DMG|1AART|1ASPD	15BEXP|27VULN|3aDMG|4RCR|6DMSP|8ASPD|9AART
142	11321 24343	   	168.27	ACR|2VULN|2DMG|1AART|1DUR	15BEXP|28VULN|37DMG|4RCR|6TLV|9AART|aDUR
143	11481 34823	   	168.16	DCR|2AART|2VULN|2DMG	1BEXP|27VULN|3MBVNT|48AART|59DMG|6LWND|aRCR
144	35134 13132	   	168.04	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LHND|2RCVC|3ZMB|4CDMG|5VULN|6RCR|7DMG|8FEWX|9aAART
145	35422 14132	   	167.94	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LHND|2RCVC|3DMG|4DUST|5CDMG|6RCR|7VULN|8ZMB|9aAART
146	11322 63625	 * 	167.79	ACR|2DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1ASPD	1BEXP|2VULN|37DMG|4RCR|5CDMG|6RCVC|8ASPD|9ZMB|aFLTHEA
147	11322 12146	   	167.29	ACR|3DMG|1VULN|1CDMG|1ZMB|1ASPD	1BEXP|2VULN|37aDMG|4RCR|5CDMG|6FEWX|8ZMB|9ASPD
148	31332 26144	   	167.17	DCR|4VULN|2DMG	19LHND|2589VULN|3LIT|4aLWND|69DMG|7RCR|9BPWR
149	31332 26145	   	167.17	DCR|4VULN|2DMG	19LHND|2589VULN|3LIT|4LWND|69DMG|7RCR|9BPWR|aFEWX
150	33322 26141	   	167.17	DCR|4VULN|2DMG	19LHND|29FEWX|3LIT|458aVULN|69DMG|7RCR|9BPWR
151	61622 13225	 * 	167.16	DCR|2VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD	1ASPD|2DMSP|38VULN|4DUST|5CDMG|6RCR|7DMG|9ZMB|aFLTHEA
152	63362 13613	   	167.16	DCR|2VULN|1DMG|2ASPD|1CDMG|1ZMB|1DUR	1aASPD|2LWND|34VULN|5CDMG|6RCR|7DMG|8ZMB|9DUR
153	11634 43783	   	167.16	DCR|2VULN|2DMG|2AART	18BEXP|23VULN|4MBVNT|58FEWX|69AART|78DMG|8BPWR|aRCR
154	31332 26143	   	167.07	DCR|4VULN|2DMG	19LHND|2589VULN|3LIT|4LWND|69DMG|7RCR|9BPWR|aDUST
155	64362 13222	   	167.04	DCR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1ASPD|2FEWX|34VULN|5CDMG|6RCR|7aDMG|8DUR|9DUST
156	63362 13421	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7DMG|8AART|9CGEN|aBEXP
157	63362 13431	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2LWND|34VULN|5CDMG|6RCR|7DMG|8AART|9RPLT|aMLV
158	42322 26141	   	166.97	DCR|4VULN|2DMG	19DUST|29LHND|3LIT|458aVULN|69DMG|7RCR|9BPWR
159	11634 43573	   	166.96	DCR|2VULN|2DMG|2AART	1BEXP|23VULN|4MBVNT|5FEWX|68AART|79DMG|aRCR
160	11322 63531	   	166.94	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1aBEXP|2VULN|37DMG|4RCR|5CDMG|6RCVC|8DUR|9AART
161	11322 63534	   	166.94	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2VULN|37DMG|4RCR|5CDMG|6RCVC|8DUR|9AART|aMLV
162	11322 64531	   	166.94	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1aBEXP|27VULN|3DMG|4RCR|5CDMG|6RCVC|8DUR|9AART
