0	Index      	 *	Score 	Summary	Detail	
139	13234 43163	   	169.42	DCR|4VULN|1AART|1ZMB	1BELT|278aVULN|3RPLT|4AART|5TLV|6RCR|9ZMB
140	31212 34266	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD|1SELL	1ERES|2ASPD|3AART|4DMG|57VULN|6DUR|8SELL|9RCR|aCDMG
141	13261 23115	 * 	169.37	DCR|4VULN|2DMG	1BELT|248aVULN|3RPLT|58TLV|6RCR|78DMG|8BPWR|9MLV
142	13261 23125	   	169.37	DCR|4VULN|2DMG	1BELT|248aVULN|3RPLT|58TLV|6RCR|78DMG|8BPWR|9RMIN
143	13262 23115	   	169.37	DCR|4VULN|2DMG	1BELT|248aVULN|3RPLT|58ERES|6RCR|78DMG|8BPWR|9MLV
144	13262 23125	   	169.37	DCR|4VULN|2DMG	1BELT|248aVULN|3RPLT|58ERES|6RCR|78DMG|8BPWR|9RMIN
145	21645 31211	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|3ASPD|47aVULN|5DMG|6RCR|8LHND|9CDMG
146	21615 11311	   	169.22	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|3ASPD|4RCR|58DMG|6LHND|7aVULN|9CDMG
147	56314 22311	   	169.22	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1MLV|28DMG|3DUR|4RCR|5FEWX|6aVULN|7ZMB|9CDMG
148	36236 12131	   	169.22	DCR|2AART|2DMG|2ZMB|1CDMG	1ERES|2aDMG|38AART|47ZMB|5CDMG|6RCR|9LWND
149	12453 11623	 * 	169.13	ACR|3DMG|2VULN|2ASPD	1BELT|2aASPD|3RCR|45aDMG|689ERES|7aVULN|aBPWR
150	36213 13345	   	169.13	DCR|3DMG|2AART|1VULN	1ERES|24aDMG|35AART|6DUST|7VULN|8BEXP|9RCR
151	36236 12161	   	169.12	DCR|2AART|2DMG|2ZMB|1CDMG	1ERES|2aDMG|38AART|47ZMB|5CDMG|6RCR|9DUST
152	66312 31422	   	168.97	ACR|2VULN|2DMG|1AART|1DUR	16CGEN|29DMG|3DUR|4RCR|5aVULN|7RMIN|8AART
153	33321 15145	   	168.85	DCR|2VULN|2DMG|1AART|2DUR	1ERES|23DUR|4aDMG|57VULN|6DUST|8AART|9RCR
154	31423 25242	   	168.61	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	19ERES|29ASPD|3RMIN|4DMG|5AART|6RCR|7LSRREG|89VULN|9BPWR|aDUR
155	22311 64633	   	168.47	DCR|4VULN|1AART|1CDMG	1FEWX|2VENICY|3LIT|459aVULN|6AART|7RCR|8CDMG
156	31213 35336	   	168.31	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1ERES|2ASPD|39AART|4DMG|5FEWX|6DUR|7RCR|8VULN|aCDMG
157	12532 44213	 * 	168.27	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1BELT|2ASPD|3BASHEA|48VULN|5RCR|6CDMG|7DUR|9DMG|aAART
